economicdatasymbol,date,economicdatavalue,countryiso3,source
USDXOF,11/27/2019,592,BFA,Trading Economics
USDXOF,11/28/2019,592,BFA,Trading Economics
USDXOF,11/29/2019,592.25,BFA,Trading Economics
USDXOF,12/2/2019,588.03,BFA,Trading Economics
USDXOF,12/3/2019,588.48,BFA,Trading Economics
USDXOF,12/4/2019,588.75,BFA,Trading Economics
USDXOF,12/5/2019,588.75,BFA,Trading Economics
USDXOF,12/6/2019,587.22,BFA,Trading Economics
USDXOF,12/9/2019,589.22,BFA,Trading Economics
USDXOF,12/10/2019,587.21,BFA,Trading Economics
USDXOF,12/11/2019,588.98,BFA,Trading Economics
USDXOF,12/12/2019,583.56,BFA,Trading Economics
USDXOF,12/13/2019,580.45,BFA,Trading Economics
USDXOF,12/16/2019,584.7,BFA,Trading Economics
USDXOF,12/17/2019,584.32,BFA,Trading Economics
USDXOF,12/18/2019,585.2,BFA,Trading Economics
USDXOF,12/19/2019,586,BFA,Trading Economics
USDXOF,12/20/2019,586.4,BFA,Trading Economics
USDXOF,12/23/2019,586.24,BFA,Trading Economics
USDXOF,12/24/2019,588.25,BFA,Trading Economics
USDXOF,12/25/2019,588.25,BFA,Trading Economics
USDXOF,12/26/2019,584.48,BFA,Trading Economics
USDXOF,12/27/2019,586.25,BFA,Trading Economics
USDXOF,12/30/2019,582,BFA,Trading Economics
USDXOF,12/31/2019,581.75,BFA,Trading Economics
USDXOF,1/1/2020,581.75,BFA,Trading Economics
USDXOF,1/2/2020,581.7,BFA,Trading Economics
USDXOF,1/3/2020,582,BFA,Trading Economics
USDXOF,1/6/2020,584,BFA,Trading Economics
USDXOF,1/7/2020,583.2,BFA,Trading Economics
USDXOF,1/8/2020,583.22,BFA,Trading Economics
USDXOF,1/9/2020,585,BFA,Trading Economics
USDXOF,1/10/2020,587,BFA,Trading Economics
USDXOF,1/13/2020,586,BFA,Trading Economics
USDXOF,1/14/2020,584.18,BFA,Trading Economics
USDXOF,1/15/2020,582.25,BFA,Trading Economics
USDXOF,1/16/2020,585.45,BFA,Trading Economics
USDXOF,1/17/2020,585.45,BFA,Trading Economics
USDXOF,1/20/2020,585.35,BFA,Trading Economics
USDXOF,1/21/2020,587.7,BFA,Trading Economics
USDXOF,1/22/2020,587.78,BFA,Trading Economics
USDXOF,1/23/2020,587,BFA,Trading Economics
USDXOF,1/24/2020,590.45,BFA,Trading Economics
USDXOF,1/27/2020,590.7,BFA,Trading Economics
USDXOF,1/28/2020,591.98,BFA,Trading Economics
USDXOF,1/29/2020,591,BFA,Trading Economics
USDXOF,1/30/2020,592.45,BFA,Trading Economics
USDXOF,1/31/2020,591.45,BFA,Trading Economics
USDXOF,2/3/2020,588.7,BFA,Trading Economics
USDXOF,2/4/2020,589,BFA,Trading Economics
USDXOF,2/5/2020,590.7,BFA,Trading Economics
USDXOF,2/6/2020,592.75,BFA,Trading Economics
USDXOF,2/7/2020,594.15,BFA,Trading Economics
USDXOF,2/10/2020,595.48,BFA,Trading Economics
USDXOF,2/11/2020,597.45,BFA,Trading Economics
USDXOF,2/12/2020,597.77,BFA,Trading Economics
USDXOF,2/13/2020,599.5,BFA,Trading Economics
USDXOF,2/14/2020,601.7,BFA,Trading Economics
USDXOF,2/17/2020,601.75,BFA,Trading Economics
USDXOF,2/18/2020,601.7,BFA,Trading Economics
USDXOF,2/19/2020,600.08,BFA,Trading Economics
USDXOF,2/20/2020,604.48,BFA,Trading Economics
USDXOF,2/21/2020,598.49,BFA,Trading Economics
USDXOF,2/24/2020,603,BFA,Trading Economics
USDXOF,2/25/2020,595.61,BFA,Trading Economics
USDXOF,2/26/2020,594.32,BFA,Trading Economics
USDXOF,2/27/2020,597.52,BFA,Trading Economics
USDXOF,2/28/2020,593,BFA,Trading Economics
USDXOF,3/2/2020,587.12,BFA,Trading Economics
USDXOF,3/3/2020,579.49,BFA,Trading Economics
USDXOF,3/4/2020,584.72,BFA,Trading Economics
USDXOF,3/5/2020,584.7,BFA,Trading Economics
USDXOF,3/6/2020,580.48,BFA,Trading Economics
USDXOF,3/9/2020,568.7,BFA,Trading Economics
USDXOF,3/10/2020,572.28,BFA,Trading Economics
USDXOF,3/11/2020,575,BFA,Trading Economics
USDXOF,3/12/2020,575.02,BFA,Trading Economics
USDXOF,3/13/2020,575,BFA,Trading Economics
USDXOF,3/16/2020,578.72,BFA,Trading Economics
USDXOF,3/17/2020,585,BFA,Trading Economics
USDXOF,3/18/2020,588.93,BFA,Trading Economics
USDXOF,3/19/2020,574.99,BFA,Trading Economics
USDXOF,3/20/2020,605.22,BFA,Trading Economics
USDXOF,3/23/2020,608.2,BFA,Trading Economics
USDXOF,3/24/2020,600.44,BFA,Trading Economics
USDXOF,3/25/2020,600.19,BFA,Trading Economics
USDXOF,3/26/2020,598.3,BFA,Trading Economics
USDXOF,3/27/2020,591.72,BFA,Trading Economics
USDXOF,3/30/2020,589,BFA,Trading Economics
USDXOF,3/31/2020,589,BFA,Trading Economics
USDXOF,4/1/2020,594.48,BFA,Trading Economics
USDXOF,4/2/2020,594.43,BFA,Trading Economics
USDXOF,4/3/2020,603.48,BFA,Trading Economics
USDXOF,4/6/2020,598.06,BFA,Trading Economics
USDXOF,4/7/2020,596.41,BFA,Trading Economics
USDXOF,4/8/2020,601.2,BFA,Trading Economics
USDXOF,4/9/2020,600,BFA,Trading Economics
USDXOF,4/10/2020,595.5,BFA,Trading Economics
USDXOF,4/13/2020,595.45,BFA,Trading Economics
USDXOF,4/14/2020,596.72,BFA,Trading Economics
USDXOF,4/15/2020,595.88,BFA,Trading Economics
USDXOF,4/16/2020,598.31,BFA,Trading Economics
USDXOF,4/17/2020,602.2,BFA,Trading Economics
USDXOF,4/20/2020,600.22,BFA,Trading Economics
USDXOF,4/21/2020,599.7,BFA,Trading Economics
USDXOF,4/22/2020,600.22,BFA,Trading Economics
USDXOF,4/23/2020,605.38,BFA,Trading Economics
USDXOF,4/24/2020,604.57,BFA,Trading Economics
USDXOF,4/27/2020,600,BFA,Trading Economics
USDXOF,4/28/2020,601,BFA,Trading Economics
USDXOF,4/29/2020,599.38,BFA,Trading Economics
USDXOF,4/30/2020,600.2,BFA,Trading Economics
USDXOF,5/1/2020,599.48,BFA,Trading Economics
USDXOF,5/4/2020,596.49,BFA,Trading Economics
USDXOF,5/5/2020,598.7,BFA,Trading Economics
USDXOF,5/6/2020,601.56,BFA,Trading Economics
USDXOF,5/7/2020,601.97,BFA,Trading Economics
USDXOF,5/8/2020,601.7,BFA,Trading Economics
USDXOF,5/11/2020,601.98,BFA,Trading Economics
USDXOF,5/12/2020,602.04,BFA,Trading Economics
USDXOF,5/13/2020,601.72,BFA,Trading Economics
USDXOF,5/14/2020,603.05,BFA,Trading Economics
USDXOF,5/15/2020,602.36,BFA,Trading Economics
USDXOF,5/18/2020,600,BFA,Trading Economics
USDXOF,5/19/2020,595.98,BFA,Trading Economics
USDXOF,5/20/2020,594.13,BFA,Trading Economics
USDXOF,5/21/2020,594.68,BFA,Trading Economics
USDXOF,5/22/2020,597.48,BFA,Trading Economics
USDXOF,5/25/2020,597.45,BFA,Trading Economics
USDXOF,5/26/2020,598.22,BFA,Trading Economics
USDXOF,5/27/2020,596.71,BFA,Trading Economics
USDXOF,5/28/2020,591.09,BFA,Trading Economics
USDXOF,5/29/2020,586.49,BFA,Trading Economics
USDXOF,6/1/2020,585,BFA,Trading Economics
USDXOF,6/2/2020,582.42,BFA,Trading Economics
USDXOF,6/3/2020,581,BFA,Trading Economics
USDXOF,6/4/2020,578.23,BFA,Trading Economics
USDXOF,6/5/2020,577.02,BFA,Trading Economics
USDXOF,6/8/2020,575.79,BFA,Trading Economics
USDXOF,6/9/2020,577.46,BFA,Trading Economics
USDXOF,6/10/2020,574.48,BFA,Trading Economics
USDXOF,6/11/2020,573.44,BFA,Trading Economics
USDXOF,6/12/2020,576.45,BFA,Trading Economics
USDXOF,6/15/2020,578.12,BFA,Trading Economics
USDXOF,6/16/2020,579.22,BFA,Trading Economics
USDXOF,6/17/2020,578.89,BFA,Trading Economics
USDXOF,6/18/2020,580.37,BFA,Trading Economics
USDXOF,6/19/2020,581.52,BFA,Trading Economics
USDXOF,6/22/2020,581.22,BFA,Trading Economics
USDXOF,6/23/2020,577.75,BFA,Trading Economics
USDXOF,6/24/2020,576.98,BFA,Trading Economics
USDXOF,6/25/2020,580,BFA,Trading Economics
USDXOF,6/26/2020,581.2,BFA,Trading Economics
USDXOF,6/29/2020,579.31,BFA,Trading Economics
USDXOF,6/30/2020,581.34,BFA,Trading Economics
USDXOF,7/1/2020,580.72,BFA,Trading Economics
USDXOF,7/2/2020,578,BFA,Trading Economics
USDXOF,7/3/2020,580.5,BFA,Trading Economics
USDXOF,7/6/2020,580.38,BFA,Trading Economics
USDXOF,7/7/2020,577.7,BFA,Trading Economics
USDXOF,7/8/2020,577.25,BFA,Trading Economics
USDXOF,7/9/2020,575.71,BFA,Trading Economics
USDXOF,7/10/2020,577.71,BFA,Trading Economics
USDXOF,7/13/2020,575.44,BFA,Trading Economics
USDXOF,7/14/2020,582.36,BFA,Trading Economics
USDXOF,7/15/2020,575.84,BFA,Trading Economics
USDXOF,7/16/2020,571.75,BFA,Trading Economics
USDXOF,7/17/2020,572.75,BFA,Trading Economics
USDXOF,7/20/2020,568.84,BFA,Trading Economics
USDXOF,7/21/2020,568,BFA,Trading Economics
USDXOF,7/22/2020,565.48,BFA,Trading Economics
USDXOF,7/23/2020,563.25,BFA,Trading Economics
USDXOF,7/24/2020,562,BFA,Trading Economics
USDXOF,7/27/2020,560.39,BFA,Trading Economics
USDXOF,7/28/2020,556.75,BFA,Trading Economics
USDXOF,7/29/2020,555.33,BFA,Trading Economics
USDXOF,7/30/2020,554.25,BFA,Trading Economics
USDXOF,7/31/2020,554.25,BFA,Trading Economics
USDXOF,8/3/2020,554.22,BFA,Trading Economics
USDXOF,8/4/2020,554.2,BFA,Trading Economics
USDXOF,8/5/2020,551.25,BFA,Trading Economics
USDXOF,8/6/2020,549.5,BFA,Trading Economics
USDXOF,8/7/2020,549.5,BFA,Trading Economics
USDXOF,8/10/2020,554.25,BFA,Trading Economics
USDXOF,8/11/2020,553,BFA,Trading Economics
USDXOF,8/12/2020,554.95,BFA,Trading Economics
USDXOF,8/13/2020,551.22,BFA,Trading Economics
USDXOF,8/14/2020,552.5,BFA,Trading Economics
USDXOF,8/17/2020,550.22,BFA,Trading Economics
USDXOF,8/18/2020,550.25,BFA,Trading Economics
USDXOF,8/19/2020,546.2,BFA,Trading Economics
USDXOF,8/20/2020,549.2,BFA,Trading Economics
USDXOF,8/21/2020,550.5,BFA,Trading Economics
USDXOF,8/24/2020,552.61,BFA,Trading Economics
USDXOF,8/25/2020,551.5,BFA,Trading Economics
USDXOF,8/26/2020,550.81,BFA,Trading Economics
USDXOF,8/27/2020,551.25,BFA,Trading Economics
USDXOF,8/28/2020,551.25,BFA,Trading Economics
USDXOF,8/31/2020,548.25,BFA,Trading Economics
USDXOF,9/1/2020,545.24,BFA,Trading Economics
USDXOF,9/2/2020,548.75,BFA,Trading Economics
USDXOF,9/3/2020,548.69,BFA,Trading Economics
USDXOF,9/4/2020,551.75,BFA,Trading Economics
USDXOF,9/7/2020,551.75,BFA,Trading Economics
USDXOF,9/8/2020,550.5,BFA,Trading Economics
USDXOF,9/9/2020,552.81,BFA,Trading Economics
USDXOF,9/10/2020,550.98,BFA,Trading Economics
USDXOF,9/11/2020,550.79,BFA,Trading Economics
USDXOF,9/14/2020,549.5,BFA,Trading Economics
USDXOF,9/15/2020,554.98,BFA,Trading Economics
USDXOF,9/16/2020,550.01,BFA,Trading Economics
USDXOF,9/17/2020,549.75,BFA,Trading Economics
USDXOF,9/18/2020,549.75,BFA,Trading Economics
USDXOF,9/21/2020,549.72,BFA,Trading Economics
USDXOF,9/22/2020,556,BFA,Trading Economics
USDXOF,9/23/2020,557.67,BFA,Trading Economics
USDXOF,9/24/2020,558.5,BFA,Trading Economics
USDXOF,9/25/2020,559.07,BFA,Trading Economics
USDXOF,9/28/2020,560.75,BFA,Trading Economics
USDXOF,9/29/2020,558,BFA,Trading Economics
USDXOF,9/30/2020,556,BFA,Trading Economics
USDXOF,10/1/2020,555,BFA,Trading Economics
USDXOF,10/2/2020,555,BFA,Trading Economics
USDXOF,10/5/2020,556,BFA,Trading Economics
USDXOF,10/6/2020,556,BFA,Trading Economics
USDXOF,10/7/2020,554.5,BFA,Trading Economics
USDXOF,10/8/2020,553.75,BFA,Trading Economics
USDXOF,10/9/2020,553.7,BFA,Trading Economics
USDXOF,10/12/2020,551.5,BFA,Trading Economics
USDXOF,10/13/2020,551.5,BFA,Trading Economics
USDXOF,10/14/2020,555.25,BFA,Trading Economics
USDXOF,10/15/2020,554,BFA,Trading Economics
USDXOF,10/16/2020,556.31,BFA,Trading Economics
USDXOF,10/19/2020,556.75,BFA,Trading Economics
USDXOF,10/20/2020,553.75,BFA,Trading Economics
USDXOF,10/21/2020,552.62,BFA,Trading Economics
USDXOF,10/22/2020,549.86,BFA,Trading Economics
USDXOF,10/23/2020,551.25,BFA,Trading Economics
USDXOF,10/26/2020,550.7,BFA,Trading Economics
USDXOF,10/27/2020,550,BFA,Trading Economics
USDXOF,10/28/2020,551.5,BFA,Trading Economics
USDXOF,10/29/2020,554.5,BFA,Trading Economics
USDXOF,10/30/2020,554.5,BFA,Trading Economics
USDXOF,11/2/2020,560.5,BFA,Trading Economics
USDXOF,11/3/2020,560.5,BFA,Trading Economics
USDXOF,11/4/2020,566.59,BFA,Trading Economics
USDXOF,11/5/2020,561.51,BFA,Trading Economics
USDXOF,11/6/2020,559.34,BFA,Trading Economics
USDXOF,11/9/2020,550.39,BFA,Trading Economics
USDXOF,11/10/2020,551.75,BFA,Trading Economics
USDXOF,11/11/2020,552.15,BFA,Trading Economics
USDXOF,11/12/2020,551.99,BFA,Trading Economics
USDXOF,11/13/2020,551.73,BFA,Trading Economics
USDXOF,11/16/2020,558.99,BFA,Trading Economics
USDXOF,11/17/2020,549.5,BFA,Trading Economics
USDXOF,11/18/2020,550,BFA,Trading Economics
USDXOF,11/19/2020,550,BFA,Trading Economics
USDXOF,11/20/2020,550,BFA,Trading Economics
USDXOF,11/23/2020,549.22,BFA,Trading Economics
USDXOF,11/24/2020,550,BFA,Trading Economics
USDXOF,11/25/2020,547.75,BFA,Trading Economics
USDXOF,11/26/2020,547.7,BFA,Trading Economics
USDXOF,11/27/2020,546.25,BFA,Trading Economics
USDXOF,11/30/2020,546.5,BFA,Trading Economics
USDXOF,12/1/2020,544.75,BFA,Trading Economics
USDXOF,12/2/2020,539.75,BFA,Trading Economics
USDXOF,12/3/2020,539.4,BFA,Trading Economics
